t,y
0.925,1.867
0.926,1.867
0.927,1.867
0.928,1.866
0.929,1.866
0.930,1.866
0.931,1.866
0.932,1.865
0.933,1.865
0.934,1.865
0.935,1.865
0.936,1.864
0.937,1.864
0.938,1.864
0.939,1.863
0.940,1.863
0.941,1.863
0.942,1.863
0.943,1.862
0.944,1.862
0.945,1.862
0.946,1.861
0.947,1.861
0.948,1.861
0.949,1.861
0.950,1.860
0.951,1.860
0.952,1.860
0.953,1.859
0.954,1.859
0.955,1.859
0.956,1.859
0.957,1.858
0.958,1.858
0.959,1.858
0.960,1.857
0.961,1.857
0.962,1.857
0.963,1.857
0.964,1.856
0.965,1.856
0.966,1.856
0.967,1.855
0.968,1.855
0.969,1.855
0.970,1.855
0.971,1.854
0.972,1.854
0.973,1.854
0.974,1.853
0.975,1.853
0.976,1.853
0.977,1.852
0.978,1.852
0.979,1.852
0.980,1.852
0.981,1.851
0.982,1.851
0.983,1.851
0.984,1.850
0.985,1.850
0.986,1.850
0.987,1.849
0.988,1.849
0.989,1.849
0.990,1.848
0.991,1.848
0.992,1.848
0.993,1.848
0.994,1.847
0.995,1.847
0.996,1.847
0.997,1.846
0.998,1.846
0.999,1.846
1.0,1.845
1.001,1.845
1.001,1.845
1.003,1.844
1.003,1.844
1.004,1.844
1.006,1.843
1.006,1.843
1.008,1.843
1.008,1.842
1.009,1.842
1.011,1.842
1.011,1.842
1.013,1.841
1.014,1.841
1.014,1.841
1.016,1.840
1.016,1.840
1.018,1.840
1.019,1.839
1.019,1.839
1.021,1.839
1.021,1.838
1.023,1.838
1.024,1.838
1.024,1.837
1.026,1.837
1.026,1.837
1.027,1.836
1.029,1.836
1.029,1.836
1.031,1.835
1.031,1.835
1.032,1.835
1.034,1.834
1.034,1.834
1.036,1.834
1.036,1.833
1.037,1.833
1.039,1.833
1.039,1.832
1.041,1.832
1.042,1.832
1.042,1.831
1.044,1.831
1.044,1.831
1.046,1.830
1.047,1.830
1.047,1.830
1.049,1.829
1.049,1.829
1.051,1.829
1.052,1.828
1.052,1.828
1.054,1.828
1.054,1.827
1.055,1.827
1.057,1.827
1.057,1.826
1.059,1.826
1.059,1.826
1.060,1.825
1.062,1.825
1.062,1.825
1.064,1.824
1.065,1.824
1.065,1.824
1.067,1.823
1.067,1.823
1.069,1.823
1.070,1.822
1.070,1.822
1.072,1.822
1.072,1.821
1.074,1.821
1.075,1.820
1.075,1.820
1.077,1.820
1.077,1.819
1.079,1.819
1.080,1.819
1.080,1.818
1.082,1.818
1.082,1.818
1.083,1.817
1.085,1.817
1.085,1.817
1.087,1.816
1.088,1.816
1.088,1.816
1.090,1.815
1.090,1.815
1.092,1.815
1.093,1.814
1.093,1.814
1.095,1.814
1.095,1.813
1.097,1.813
1.098,1.812
1.098,1.812
1.100,1.812
1.100,1.811
1.102,1.811
1.103,1.811
1.103,1.810
1.105,1.810
1.105,1.810
1.106,1.809
1.108,1.809
1.108,1.809
1.110,1.808
1.110,1.808
1.111,1.808
1.113,1.807
1.113,1.807
1.115,1.806
1.116,1.806
1.116,1.806
1.118,1.805
1.118,1.805
1.120,1.805
1.121,1.804
1.121,1.804
1.123,1.804
1.123,1.803
1.125,1.803
1.126,1.802
1.126,1.802
1.128,1.802
1.128,1.801
1.130,1.801
1.131,1.801
1.131,1.800
1.133,1.800
1.133,1.800
1.134,1.799
1.136,1.799
1.136,1.799
1.138,1.798
1.139,1.798
1.139,1.797
1.141,1.797
1.141,1.797
1.143,1.796
1.144,1.796
1.144,1.796
1.146,1.795
1.146,1.795
1.148,1.795
1.149,1.794
1.149,1.794
1.151,1.793
1.151,1.793
1.153,1.793
1.154,1.792
1.154,1.792
1.156,1.792
1.156,1.791
1.158,1.791
1.159,1.791
1.159,1.790
1.161,1.790
1.161,1.789
1.162,1.789
1.164,1.789
1.164,1.788
1.166,1.788
1.167,1.788
1.167,1.787
1.169,1.787
1.169,1.787
1.171,1.786
1.172,1.786
1.172,1.785
1.174,1.785
1.174,1.785
1.176,1.784
1.177,1.784
1.177,1.784
1.179,1.783
1.179,1.783
1.181,1.782
1.182,1.782
1.182,1.782
1.184,1.781
1.184,1.781
1.185,1.781
1.187,1.780
1.187,1.780
1.189,1.780
1.190,1.779
1.190,1.779
1.192,1.778
1.192,1.778
1.194,1.778
1.195,1.777
1.195,1.777
1.197,1.777
1.197,1.776
1.199,1.776
1.200,1.775
1.200,1.775
1.202,1.775
1.202,1.774
1.204,1.774
1.205,1.774
1.205,1.773
1.207,1.773
1.207,1.773
1.208,1.772
1.210,1.772
1.210,1.771
1.212,1.771
1.213,1.771
1.213,1.770
1.215,1.770
1.215,1.770
1.217,1.769
1.218,1.769
1.218,1.768
1.220,1.768
